Sample_Run,Sample,Isolate ID,sensu,Species,State,,
LA-AN-1,SRR11343872,L7-1829,strictu,boo,LA,,
LA-AN-2,SRR11343866,L7-1835,strictu,boo,LA,,
LA-AN-3,SRR11343861,L7-1838,strictu,boo,LA,,
LA-AN-4,SRR11343856,L7-1846,strictu,boo,LA,,
LA-AN-5,SRR11343853,L7-1851,strictu,boo,LA,,
MT-PC-3,SRR11344246,L7-1542,strictu,boo,MT,,
ND-LL-1,SRR11344057,L7-1250,lato,boo,ND,,
NY-BM-2,SRR11344112,L7-0371,strictu,boo,NY,,
NY-BM-5,SRR11344107,L7-0385,lato,boo,NY,,
OH-CV-4,SRR11344218,L7-0217,lato,boo,OH,,
SD-SS-2,SRR11343908,L7-1073,strictu,boo,MN,,
TX-DP-2,SRR11344050,L7-0096,strictu,boo,TX,,
TX-LL-2,SRR11344205,L7-0033,lato,boo,TX,,
TX-MC-1,SRR11344108,L7-0038,strictu,boo,TX,,
TX-SH-2,SRR11344069,L7-1659,strictu,boo,TX,,
WY-BH-4,SRR11344228,L7-1588,lato,boo,SD,,
WY-BH-5,SRR11344224,L7-1594,lato,boo,SD,,
WY-TB-3,SRR11343879,L7-1499,strictu,boo,WY,,
AL-BN-2,SRR11344042,L7-1299,lato,boo,AL,,
AL-CSP-3,SRR11344102,L7-0459,lato,boo,AL,,
AL-OM-1,SRR11344214,L7-0232,lato,boo,AL,,
AL-OM-2,SRR11344212,L7-0236,lato,boo,AL,,
AL-OM-4,SRR11344211,L7-0245,lato,boo,AL,,
AL-OM-5,SRR11344208,L7-0256,lato,boo,AL,,
AL-TIH-1,SRR11344207,L7-0259,lato,boo,AL,,
AL-TIH-3,SRR11344206,L7-0269,lato,boo,AL,,
AL-TIH-4,SRR11344203,L7-0278,lato,boo,AL,,
AL-TN-2,SRR11343893,L7-1430,lato,boo,AL,,
FL-BS-3,SRR11344026,L7-1698,lato,boo,FL,,
FL-WP-3,SRR11344029,L7-1681,lato,boo,FL,,
GA-CNF-1,SRR11343942,L7-0979,lato,boo,GA,,
GA-CNF-2,SRR11343941,L7-0984,lato,boo,GA,,
GA-CNF-4,SRR11343940,L7-0990,lato,boo,GA,,
GA-CNF-5,SRR11343938,L7-0994,lato,boo,GA,,
GA-RT-4,SRR11343897,L7-1409,lato,boo,GA,,
IL-KS-1,SRR11343930,L7-1017,lato,boo,IL,,
IN-SS-1,SRR11343972,L7-0859,lato,boo,IN,,
IN-WM-5,SRR11343899,L7-1385,lato,boo,IN,,
KY-RR-2,SRR11344122,L7-0335,lato,boo,KY,,
KY-RR-5,SRR11344118,L7-0360,lato,boo,KY,,
LA-HN-5,SRR11344014,L7-1761,lato,boo,MS,,
LA-LO-2,SRR11344007,L7-1816,lato,boo,LA,,
MD-SERC-1,SRR11344136,L7-0587,lato,boo,MD,,
MD-SERC-3,SRR11344135,L7-0605,lato,boo,MD,,
MN-MS-3,SRR11343995,L7-0729,lato,boo,MN,,
MN-SD-5,SRR11344011,L7-1773,lato,boo,MN,,
